[TraceId: ] 2024-03-06 09:15:54.544 [main] INFO  com.luser.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_311 on Emily with PID 36268 (D:\codes\IdeaProjects\weblog-springboot\weblog-web\target\classes started by 29531 in D:\codes\IdeaProjects\weblog-springboot)
[TraceId: ] 2024-03-06 09:15:54.546 [main] INFO  com.luser.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-03-06 09:15:56.065 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-03-06 09:15:56.078 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-03-06 09:15:56.079 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-03-06 09:15:56.263 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-03-06 09:15:56.263 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1677 ms
[TraceId: ] 2024-03-06 09:15:59.215 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1f9d4b0e, org.springframework.security.web.context.SecurityContextPersistenceFilter@73894c5a, org.springframework.security.web.header.HeaderWriterFilter@21ae657b, org.springframework.security.web.authentication.logout.LogoutFilter@62b09715, com.luser.weblog.jwt.filter.TokenAuthenticationFilter@2924f1d8, com.luser.weblog.jwt.filter.JwtAuthenticationFilter@1e8fb66f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4538856f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@52454457, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e33b52e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d8d17a3, org.springframework.security.web.session.SessionManagementFilter@576b7c74, org.springframework.security.web.access.ExceptionTranslationFilter@7e64c1a9, org.springframework.security.web.access.intercept.AuthorizationFilter@39941489]
[TraceId: ] 2024-03-06 09:15:59.484 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-03-06 09:15:59.499 [main] INFO  com.luser.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 5.56 seconds (JVM running for 6.92)
[TraceId: ] 2024-03-06 09:17:05.451 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[TraceId: ] 2024-03-06 09:17:05.451 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[TraceId: ] 2024-03-06 09:17:05.453 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
